Country,Cases,Deaths,Recoveries,Death Rate,Recovery Rate
Singapore,58114,28,58008,0.000481811611659841,0.9981759988987163
Slovenia,52385,724,,0.013820750214756133,
Ghana,50018,320,48179,0.006397696829141509,0.9632332360350274
Malaysia,46209,306,33772,0.006622086606505226,0.7308532969767794
North Macedonia,46062,1281,26981,0.027810342581737656,0.5857539837610177
Afghanistan,43035,1605,35067,0.03729522481700941,0.8148483792262112
Puerto Rico,40574,914,,0.022526741262877705,
El Salvador,36195,1033,32487,0.028539853570935213,0.8975549108992955
Lithuania,33387,266,7697,0.007967172851708748,0.23053883247970766
South Korea,28338,492,25636,0.017361846284141436,0.9046509986590444
Norway,27916,294,11863,0.01053159478435306,0.42495343172374267
Kosovo,27851,797,16862,0.028616566730099456,0.6054360705181142
Australia,27702,907,25468,0.03274131831636705,0.919356003176666
Albania,27233,612,12767,0.022472735284397607,0.46880622773840563
Montenegro,26686,385,17150,0.014427040395713108,0.6426590721726748
Luxembourg,25931,219,15428,0.008445489954108982,0.5949635571323898
Cameroon,22421,433,20510,0.019312251906694618,0.9147674055572901
Ivory Coast,20899,127,20599,0.006076845782094837,0.9856452461840279
Finland,18858,369,14000,0.01956729239580019,0.7423904974016332
Madagascar,17223,249,16516,0.014457411600766417,0.95895024095686
Zambia,17093,350,16134,0.02047621833499093,0.9438951617621248
Sri Lanka,16405,53,11324,0.0032307223407497714,0.6902773544651021
Senegal,15755,326,15400,0.02069184385909235,0.9774674706442399
Uganda,15402,144,8038,0.009349435138293729,0.5218802752889236
Sudan,14401,1116,9535,0.07749461842927574,0.6621067981390181
Mozambique,14227,110,12238,0.0077317776059604975,0.8601954031067688
Namibia,13372,138,11620,0.010320071791803768,0.8689799581214478
Angola,13228,317,6326,0.02396431811309344,0.4782280012095555
Guinea,12537,74,10899,0.0059025285155938426,0.8693467336683417
Maldives,12112,41,11244,0.0033850726552179656,0.928335535006605
French Polynesia,11706,53,4842,0.004527592687510678,0.41363403382880576
DR Congo,11692,318,10983,0.027198084160109475,0.9393602463222717
Tajikistan,11534,85,10894,0.007369516212935669,0.9445118779261314
Latvia,9836,116,1515,0.011793411956079707,0.15402602684017894
Cape Verde,9741,102,9076,0.010471204188481676,0.9317318550456832
Jamaica,9723,227,5168,0.023346703692276045,0.5315231924303199
Haiti,9168,232,7701,0.02530541012216405,0.8399869109947644
Gabon,9062,58,8939,0.00640035312293092,0.9864268373427499
Zimbabwe,8765,257,8090,0.029321163719338277,0.9229891614375356
Donetsk PR,8568,769,4115,0.08975256769374416,0.48027544351073764
Mauritania,7932,165,7513,0.0208018154311649,0.9471759959657086
Malta,7917,95,5702,0.011999494758115448,0.7202223064292029
Cuba,7541,131,6965,0.017371701365866597,0.9236175573531362
Bahamas,7163,155,5282,0.0216389780818093,0.7374005305039788
Estonia,7412,80,4708,0.010793308148947653,0.6351861845655693
Cyprus,6853,28,2021,0.0040858018386108275,0.2949073398511601
Botswana,6820,27,5559,0.0039589442815249265,0.8151026392961876
Syria,6552,337,2609,0.05143467643467643,0.39819902319902317
Eswatini,6076,118,5756,0.019420671494404212,0.9473337722185649
